price_num,bhk_number,area_sqft,price_per_sqft,locality,city,listing_url
16500000,3,1187,13901,Kharadi,Pune,https://www.magicbricks.com/duville-riverdale-grand-kharadi-pune-pdpid-4d4235333335323135
7800000,2,750,10400,Wakad,Pune,https://www.magicbricks.com/propertyDetails/2-BHK-945-Sq-ft-Multistorey-Apartment-FOR-Sale-Wakad-in-Pune&id=4d423830393838343337
4700000,2,680,6912,Handewadi,Pune,https://www.magicbricks.com/dreams-elina-handewadi-pune-pdpid-4d4235303232363737
5500000,2,905,6077,Ravet,Pune,https://www.magicbricks.com/propertyDetails/2-BHK-905-Sq-ft-Multistorey-Apartment-FOR-Sale-Ravet-in-Pune&id=4d423632373335383531
3100000,2,840,3690,Ambegaon Pathar,Pune,https://www.magicbricks.com/propertyDetails/2-BHK-840-Sq-ft-Multistorey-Apartment-FOR-Sale-Ambegaon-Pathar-in-Pune&id=4d423632373335373433
8000000,2,900,8889,Fursungi,Pune,https://www.magicbricks.com/propertyDetails/2-BHK-900-Sq-ft-Multistorey-Apartment-FOR-Sale-Phursungi-in-Pune&id=4d423632373335353939
3200000,1,600,5333,Hadapsar,Pune,https://www.magicbricks.com/gangotri-park-hadapsar-pune-pdpid-4d4235303035323431
2850000,1,390,7308,Moshi,Pune,https://www.magicbricks.com/ishwar-river-residency-moshi-pune-pdpid-4d4235303231363330
10000000,2,1000,10000,New Kalyani Nagar,Pune,https://www.magicbricks.com/bramha-the-collection-new-kalyani-nagar-pune-pdpid-4d4235313236333635
11500000,2,877,13113,Kharadi,Pune,https://www.magicbricks.com/majestique-evolvus-kharadi-pune-pdpid-4d4235343138353239
32200000,3,1277,25215,Shivajinagar,Pune,https://www.magicbricks.com/shree-venkatesh-laurel-shivajinagar-pune-pdpid-4d4235343139393639
2150000,1,565,3805,Talegaon Dabhade,Pune,https://www.magicbricks.com/propertyDetails/1-BHK-565-Sq-ft-Multistorey-Apartment-FOR-Sale-Talegaon-Dabhade-in-Pune&id=4d423637323431373033
32000000,3,2265,14128,Nibm Road,Pune,https://www.magicbricks.com/tribeca-the-ark-voyage-to-the-stars-nibm-road-pune-pdpid-4d4235303838343036
11000000,2,770,14286,Rakshak Nagar,Pune,https://www.magicbricks.com/vascon-forest-edge-rakshak-nagar-pune-pdpid-4d4235313131393039
2500000,1,375,6667,Bibwewadi,Pune,https://www.magicbricks.com/propertyDetails/375-Sq-ft-Studio-Apartment-FOR-Sale-Bibwewadi-in-Pune&id=4d423832313037313237
3100000,1,417,7434,Dighi,Pune,https://www.magicbricks.com/mr-pride-dighi-pune-pdpid-4d4235303431343739
1750000,1,369,4743,Talegaon Dabhade,Pune,https://www.magicbricks.com/sakar-talegaon-dabhade-pune-pdpid-4d4235303431343339
8950000,2,806,11104,Balewadi,Pune,https://www.magicbricks.com/aditya-shagun-comfort-zone-plus-balewadi-pune-pdpid-4d4235303431343338
5100000,1,487,10472,Pimpri Chinchwad,Pune,https://www.magicbricks.com/renuka-vrindavan-pimpri-chinchwad-pune-pdpid-4d4235303633373333
12500000,2,700,17857,New Kalyani Nagar,Pune,https://www.magicbricks.com/bramha-the-collection-new-kalyani-nagar-pune-pdpid-4d4235313236333635
11000000,3,1017,10816,Kharadi,Pune,https://www.magicbricks.com/pristine-allure-kharadi-pune-pdpid-4d4235333332383339
11000000,3,976,11270,Thergaon,Pune,https://www.magicbricks.com/sukhwani-kingsley-thergaon-pune-pdpid-4d4235333234333239
5000000,2,680,7353,Ambegaon,Pune,https://www.magicbricks.com/guardian-lake-shire-ambegaon-pune-pdpid-4d4235333436333837
5600000,2,742,7547,Hadapsar,Pune,https://www.magicbricks.com/mantra-majestica-hadapsar-pune-pdpid-4d4235303033393236
8950000,2,648,13812,Balewadi,Pune,https://www.magicbricks.com/aditya-shagun-comfort-zone-plus-balewadi-pune-pdpid-4d4235303431343338
6500000,2,658,9878,Undri,Pune,https://www.magicbricks.com/goel-ganga-glitz-undri-pune-pdpid-4d4235303431333833
6500000,2,726,8953,Undri,Pune,https://www.magicbricks.com/goel-ganga-glitz-undri-pune-pdpid-4d4235303431333833
1800000,1,398,4523,Fursungi,Pune,https://www.magicbricks.com/sanjuda-complex-phursungi-pune-pdpid-4d4235303633363039
13700000,2,850,16118,Viman Nagar,Pune,https://www.magicbricks.com/lunkad-gold-coast-viman-nagar-pune-pdpid-4d4235303836343430
