price_raw,price_num,bhk_raw,bhk_number,area_raw,area_sqft,locality,city,listing_url
₹ 25 Lac,2500000.0,"1 BHK Flat for Sale in Kirkatwadi, Pune",1.0,Carpet Area 397 sqft,397.0,Kirkatwadi,Pune,https://www.magicbricks.com/shree-malhar-kamal-green-leaf-kirkatwadi-pune-pdpid-4d4235303237323039
₹ 40 Lac,4000000.0,"2 BHK Flat for Sale in Kirkatwadi, Pune",2.0,Carpet Area 632 sqft,632.0,Kirkatwadi,Pune,https://www.magicbricks.com/shree-malhar-kamal-green-leaf-kirkatwadi-pune-pdpid-4d4235303237323039
₹ 65 Lac,6500000.0,"2 BHK Flat for Sale in Tingre Nagar, Pune",2.0,Carpet Area 756 sqft,756.0,Tingre Nagar,Pune,https://www.magicbricks.com/shree-ram-classic-tingre-nagar-pune-pdpid-4d4235303334373339
₹ 25 Lac,2500000.0,"2 BHK Flat for Sale in Chakan, Pune",2.0,Carpet Area 612 sqft,612.0,Chakan,Pune,https://www.magicbricks.com/shree-sai-swapna-nagari-chakan-pune-pdpid-4d4235303236353538
₹ 27 Lac,2700000.0,"2 BHK Flat for Sale in Chakan, Pune",2.0,Carpet Area 612 sqft,612.0,Chakan,Pune,https://www.magicbricks.com/shree-sai-swapna-nagari-chakan-pune-pdpid-4d4235303236353538
₹ 2.20 Cr,22000000.0,"2 BHK Flat for Sale in Shivajinagar, Pune",2.0,Carpet Area 1033 sqft,1033.0,Shivajinagar,Pune,https://www.magicbricks.com/shree-venkatesh-laurel-shivajinagar-pune-pdpid-4d4235343139393639
₹ 4.60 Cr,46000000.0,"4 BHK Flat for Sale in Shivajinagar, Pune",4.0,Super Area 1778 sqft,1778.0,Shivajinagar,Pune,https://www.magicbricks.com/shree-venkatesh-laurel-shivajinagar-pune-pdpid-4d4235343139393639
Call for Price,,"2 BHK Flat for Sale in Yerawada, Airport Road, Pune",2.0,Carpet Area 684 sqft,684.0,Yerawada,Pune,https://www.magicbricks.com/shreyas-clementine-yerawada-pune-pdpid-4d4235303332353032
₹ 45 Lac,4500000.0,"1 BHK Flat for Sale in Kalyani Nagar, Pune",1.0,Carpet Area 482 sqft,482.0,Kalyani Nagar,Pune,https://www.magicbricks.com/silver-oak-kalyani-nagar-pune-pdpid-4d4235303334373934
Call for Price,,"1 BHK Flat for Sale in Warje, Pune",1.0,Carpet Area 454 sqft,454.0,Warje,Pune,https://www.magicbricks.com/smita-heights-warje-pune-pdpid-4d4235303332353235
₹ 2.43 Cr,24300000.0,"3 BHK Flat for Sale in Kothrud, Pune",3.0,Carpet Area 1157 sqft,1157.0,Kothrud,Pune,https://www.magicbricks.com/solitaire-kothrud-kothrud-pune-pdpid-4d4235303430383730
₹ 2.47 Cr,24700000.0,"3 BHK Flat for Sale in Kothrud, Pune",3.0,Carpet Area 1175 sqft,1175.0,Kothrud,Pune,https://www.magicbricks.com/solitaire-kothrud-kothrud-pune-pdpid-4d4235303430383730
₹ 2.75 Cr,27500000.0,"3 BHK Flat for Sale in Kothrud, Pune",3.0,Carpet Area 1307 sqft,1307.0,Kothrud,Pune,https://www.magicbricks.com/solitaire-kothrud-kothrud-pune-pdpid-4d4235303430383730
₹ 3.85 Cr,38500000.0,"4 BHK Flat for Sale in Kothrud, Pune",4.0,Carpet Area 1829 sqft,1829.0,Kothrud,Pune,https://www.magicbricks.com/solitaire-kothrud-kothrud-pune-pdpid-4d4235303430383730
₹ 3.91 Cr,39100000.0,"4 BHK Flat for Sale in Kothrud, Pune",4.0,Carpet Area 1860 sqft,1860.0,Kothrud,Pune,https://www.magicbricks.com/solitaire-kothrud-kothrud-pune-pdpid-4d4235303430383730
₹ 1.15 Cr,11500000.0,"4 BHK Flat for Sale in Chovisawadi, Pune",4.0,Carpet Area 1426 sqft,1426.0,Chovisawadi,Pune,https://www.magicbricks.com/swastik-prism-city-green-chovisawadi-pune-pdpid-4d4235343236313837
₹ 72.3 Lac,7230000.0,"3 BHK Flat for Sale in Chovisawadi, Pune",3.0,Carpet Area 891 sqft,891.0,Chovisawadi,Pune,https://www.magicbricks.com/swastik-prism-city-yellow-chovisawadi-pune-pdpid-4d4235343236313931
₹ 82.9 Lac,8290000.0,"3 BHK Flat for Sale in Chovisawadi, Pune",3.0,Carpet Area 1022 sqft,1022.0,Chovisawadi,Pune,https://www.magicbricks.com/swastik-prism-city-yellow-chovisawadi-pune-pdpid-4d4235343236313931
₹ 3.08 Cr,30800000.0,"4 BHK Flat for Sale in Balewadi, Pune",4.0,Carpet Area 150 sqm,150.0,Balewadi,Pune,https://www.magicbricks.com/the-balmoral-riverside-balewadi-pune-pdpid-4d4235333039303739
₹ 55 Lac,5500000.0,"2 BHK Flat for Sale in Katraj Kondhwa Road, Pune",2.0,Carpet Area 717 sqft,717.0,Katraj Kondhwa Road,Pune,https://www.magicbricks.com/tyagi-the-leaf-katraj-kondhwa-road-pune-pdpid-4d4235303338303932
Call for Price,,"1 BHK Flat for Sale in Pimple Nilakh, Pimpri Chinchwad, Pune",1.0,Carpet Area 396 sqft,396.0,Pimple Nilakh,Pune,https://www.magicbricks.com/vaishnavi-sahil-heights-pimple-nilakh-pune-pdpid-4d4235303239383437
₹ 1.10 Cr,11000000.0,"2 BHK Flat for Sale in Bavdhan, Pune",2.0,Carpet Area 810 sqft,810.0,Bavdhan,Pune,https://www.magicbricks.com/wyce-exclucity-bavdhan-pune-pdpid-4d4235343236323539
₹ 1.10 Cr,11000000.0,"2 BHK Flat for Sale in Bavdhan, Pune",2.0,Carpet Area 810 sqft,810.0,Bavdhan,Pune,https://www.magicbricks.com/wyce-exclucity-bavdhan-pune-pdpid-4d4235343236323539
₹ 1.73 Cr,17300000.0,"2 BHK Flat for Sale in Bavdhan, Pune",2.0,Carpet Area 811 sqft,811.0,Bavdhan,Pune,https://www.magicbricks.com/wyce-exclucity-bavdhan-pune-pdpid-4d4235343236323539
