price_raw,price_num,bhk_raw,bhk_number,area_raw,area_sqft,locality,city,listing_url
Call for Price,,"Apartment for Sale in Baner, Pune",,,,Baner,Pune,https://www.magicbricks.com/propertyDetails/Multistorey-Apartment-FOR-Sale-Baner-in-Pune&id=4d423632333238323931
Call for Price,,"3 BHK Flat for Sale in Ravet, Pimpri Chinchwad, Pune",3.0,Carpet Area 1423 sqft,1423.0,Ravet,Pune,https://www.magicbricks.com/vision-vanessa-ravet-pune-pdpid-4d4235333933363335
Call for Price,,"2 BHK Flat for Sale in Erandwane, Pune",2.0,Status Ready to Move,,Erandwane,Pune,https://www.magicbricks.com/shriya-apartment-erandwane-pune-pdpid-4d4235323338313231
Call for Price,,Apartment for Sale in Pune,,,,Pune,Pune,https://www.magicbricks.com/propertyDetails/Multistorey-Apartment-FOR-Sale-in-Pune&id=4d423638333132313337
Call for Price,,"Apartment for Sale in Bibwewadi, Pune",,Transaction Resale,,Bibwewadi,Pune,https://www.magicbricks.com/kenjale-light-house-bibwewadi-pune-pdpid-4d4235303437313533
Call for Price,,"2 BHK Flat for Sale in Sinhgad Road, Pune",2.0,Carpet Area 760 sqft,760.0,Sinhgad Road,Pune,https://www.magicbricks.com/propertyDetails/2-BHK-1000-Sq-ft-Multistorey-Apartment-FOR-Sale-Sinhgad-Road-in-Pune&id=4d423731323334393935
Call for Price,,"Apartment for Sale in Wakad, Pune",,Status Ready to Move,,Wakad,Pune,https://www.magicbricks.com/sunny-estate-wakad-pune-pdpid-4d4235313232373633
Call for Price,,"2 BHK Flat for Sale in Jambhe, Pune",2.0,Carpet Area 796 sqft,796.0,Jambhe,Pune,https://www.magicbricks.com/kolte-patil-life-republic-qrious-jambhe-pune-pdpid-4d4235343330363731
Call for Price,,"2 BHK Flat for Sale in Vishrantwadi, Airport Road, Pune",2.0,Carpet Area 720 sqft,720.0,Vishrantwadi,Pune,https://www.magicbricks.com/kukreja-heritage-vishrantwadi-pune-pdpid-4d4235303231303839
Call for Price,,"2 BHK Flat for Sale in Dehu Road, Pune",2.0,Carpet Area 630 sqft,630.0,Dehu Road,Pune,https://www.magicbricks.com/propertyDetails/2-BHK-875-Sq-ft-Multistorey-Apartment-FOR-Sale-Dehu-Road-in-Pune&id=4d423735363638303539
Call for Price,,"1 BHK Flat for Sale in Dehu Road, Pune",1.0,Carpet Area 468 sqft,468.0,Dehu Road,Pune,https://www.magicbricks.com/propertyDetails/1-BHK-650-Sq-ft-Multistorey-Apartment-FOR-Sale-Dehu-Road-in-Pune&id=4d423735363638303533
Call for Price,,"Apartment for Sale in Pashan Sus Road, Pune",,Transaction Resale,,Pashan Sus Road,Pune,https://www.magicbricks.com/shivalaya-society-pashan-sus-road-pune-pdpid-4d4235313131383935
Call for Price,,"3 BHK Flat for Sale in Jambhe, Pune",3.0,Carpet Area 1100 sqft,1100.0,Jambhe,Pune,https://www.magicbricks.com/kolte-patil-life-republic-qrious-jambhe-pune-pdpid-4d4235343330363731
Call for Price,,"2 BHK Flat for Sale in NIBM Annexe Area, Pune",2.0,Carpet Area 727 sqft,727.0,NIBM Annexe Area,Pune,https://www.magicbricks.com/propertyDetails/2-BHK-1010-Sq-ft-Multistorey-Apartment-FOR-Sale-NIBM-Annexe-in-Pune&id=4d423735363636383937
